Case Name,Appeal Number,Release Date,Status,File Path,PDF URL,Pages,Chunks
Smith v. Collins,23-2213,2025-03-10,completed,,https://cafc.uscourts.gov/opinions-orders/23-2213.OPINION.3-10-2025_2479140.pdf,13,7
"Cqv Co., Ltd. v. Merck Patent Gmbh",23-1027,2025-03-10,completed,,https://cafc.uscourts.gov/opinions-orders/23-1027.OPINION.3-10-2025_2479175.pdf,9,5
"Sierra Wireless, Ulc v. Sisvel S.P.A.",23-1059,2025-03-10,completed,,https://cafc.uscourts.gov/opinions-orders/23-1059.OPINION.3-10-2025_2479158.pdf,9,5
Technology Licensing Corp. v. Videotek,2007-1441,2025-03-10,completed,,https://cafc.uscourts.gov/opinions-orders/07-1441e_10292008.pdf,1,1
"Iqris Technologies LLC v. Point Blank Enterprises, Inc.",23-2062,2025-03-07,completed,,https://cafc.uscourts.gov/opinions-orders/23-2062.OPINION.3-7-2025_2478261.pdf,13,7
"Alivecor, Inc. v. Apple Inc.",23-1512,2025-03-07,completed,,https://cafc.uscourts.gov/opinions-orders/23-1512.OPINION.3-7-2025_2478298.pdf,23,12
Military-Veterans Advocacy v. Secretary of Veterans Affairs,23-1413,2025-03-06,completed,,https://cafc.uscourts.gov/opinions-orders/23-1413.OPINION.3-6-2025_2477695.pdf,11,6
"Immunogen, Inc. v. Stewart",23-1762,2025-03-06,completed,,https://cafc.uscourts.gov/opinions-orders/23-1762.OPINION.3-6-2025_2477708.pdf,13,7
Odyssey Logistics & Technology Corp. v. Stewart,23-2077,2025-03-06,completed,,https://cafc.uscourts.gov/opinions-orders/23-2077.OPINION.3-6-2025_2477725.pdf,13,7
"Lashify, Inc. v. Itc",23-1245,2025-03-05,completed,,https://cafc.uscourts.gov/opinions-orders/23-1245.OPINION.3-5-2025_2476971.pdf,29,15
"Restem, LLC v. Jadi Cell, LLC",23-2054,2025-03-04,completed,,https://cafc.uscourts.gov/opinions-orders/23-2054.OPINION.3-4-2025_2476259.pdf,10,5
"Apple Inc. v. Gesture Technology Partners, LLC",23-1475,2025-03-04,completed,,https://cafc.uscourts.gov/opinions-orders/23-1475.OPINION.3-4-2025_2476287.pdf,24,12
Doe No. 1 v. United States,23-1653,2025-03-03,completed,,https://cafc.uscourts.gov/opinions-orders/23-1653.OPINION.3-3-2025_2475494.pdf,9,5
Flightsafety International Inc. v. Air Force,23-1700,2025-02-28,completed,,https://cafc.uscourts.gov/opinions-orders/23-1700.OPINION.2-28-2025_2474888.pdf,25,13
"All One God Faith, Inc. v. United States",23-1078,2025-02-27,completed,,https://cafc.uscourts.gov/opinions-orders/23-1078.OPINION.2-27-2025_2474222.pdf,19,10
Sadler v. Army,23-1981,2025-02-25,completed,,https://cafc.uscourts.gov/opinions-orders/23-1981.OPINION.2-25-2025_2472531.pdf,19,10
US Synthetic Corp. v. Itc,23-1217,2025-02-13,completed,,https://cafc.uscourts.gov/opinions-orders/23-1217.OPINION.2-13-2025_2467516.pdf,23,12
"Pirelli Tyre Co., Ltd. v. United States",23-2266,2025-02-11,completed,,https://cafc.uscourts.gov/opinions-orders/23-2266.OPINION.2-11-2025_2466361.pdf,11,6
"Kroy Ip Holdings, LLC v. Groupon, Inc.",23-1359,2025-02-10,completed,,https://cafc.uscourts.gov/opinions-orders/23-1359.OPINION.2-10-2025_2465811.pdf,9,5
"Cotter Corp., N.S.L. v. United States",23-1826,2025-02-10,completed,,https://cafc.uscourts.gov/opinions-orders/23-1826.OPINION.2-10-2025_2465769.pdf,36,18
Siples v. Collins,22-1528,2025-02-07,completed,,https://cafc.uscourts.gov/opinions-orders/22-1528.OPINION.2-7-2025_2465184.pdf,15,8
"Trudell Medical International Inc. v. D R Burton Healthcare, LLC",23-1777,2025-02-07,completed,,https://cafc.uscourts.gov/opinions-orders/23-1777.OPINION.2-7-2025_2465245.pdf,17,9
Wuhan Healthgen Biotechnology Corp. v. Itc,23-1389,2025-02-07,completed,,https://cafc.uscourts.gov/opinions-orders/23-1389.OPINION.2-7-2025_2465209.pdf,10,5
Hd Silicon Solutions LLC v. Microchip Technology Inc.,23-1397,2025-02-06,completed,,https://cafc.uscourts.gov/opinions-orders/23-1397.OPINION.2-6-2025_2464314.pdf,9,5
27-35 Jackson Ave LLC v. United States,23-1122,2025-02-04,completed,,https://cafc.uscourts.gov/opinions-orders/23-1122.OPINION.2-4-2025_2462564.pdf,19,10
"Regeneron Pharmaceuticals, Inc. v. Mylan Pharmaceuticals Inc.",24-1965,2025-01-29,completed,,https://cafc.uscourts.gov/opinions-orders/24-1965.OPINION.1-29-2025_2459289.pdf,31,16
Abutalib v. MSPB,23-1400,2025-01-28,completed,,https://cafc.uscourts.gov/opinions-orders/23-1400.OPINION.1-28-2025_2458363.pdf,13,7
"Apple Inc. v. Gesture Technology Partners, LLC",23-1501,2025-01-27,completed,,https://cafc.uscourts.gov/opinions-orders/23-1501.OPINION.1-27-2025_2457317.pdf,14,7
"Steuben Foods, Inc. v. Shibuya Hoppmann Corporation",23-1790,2025-01-24,completed,,https://cafc.uscourts.gov/opinions-orders/23-1790.OPINION.1-24-2025_2456160.pdf,22,11
"Steuben Foods, Inc. v. Shibuya Hoppmann Corporation",23-1790,2025-01-24,completed,,https://storage.courtlistener.com/pdf/2025/01/24/steuben_foods_inc._v._shibuya_hoppmann_corporation.pdf,1,11
Biswas v. DVA,23-1552,2025-01-17,completed,,https://cafc.uscourts.gov/opinions-orders/23-1552.OPINION.1-17-2025_2452529.pdf,25,13
"Lynk Labs, Inc. v. Samsung Electronics Co., Ltd.",23-2346,2025-01-14,completed,,https://cafc.uscourts.gov/opinions-orders/23-2346.OPINION.1-14-2025_2450365.pdf,30,15
Bearbox LLC v. Lancium LLC,23-1922,2025-01-13,completed,,https://cafc.uscourts.gov/opinions-orders/23-1922.OPINION.1-13-2025_2449602.pdf,29,15
Novartis Pharmaceuticals Corporation v. Torrent Pharma Inc.,23-2218,2025-01-10,completed,,https://cafc.uscourts.gov/opinions-orders/23-2218.OPINION.1-10-2025_2448627.pdf,18,9
"Oman Fasteners, LLC v. United States",23-1661,2025-01-07,completed,,https://cafc.uscourts.gov/opinions-orders/23-1661.OPINION.1-7-2025_2447220.pdf,34,17
Bitmanagement Software Gmbh v. United States,23-1506,2025-01-07,completed,,https://cafc.uscourts.gov/opinions-orders/23-1506.OPINION.1-7-2025_2447163.pdf,22,11
Knox v. DOJ,23-1160,2025-01-06,completed,,https://cafc.uscourts.gov/opinions-orders/23-1160.OPINION.1-6-2025_2446338.pdf,12,6
Ceramtec Gmbh v. Coorstek Bioceramics LLC,23-1502,2025-01-03,completed,,https://cafc.uscourts.gov/opinions-orders/23-1502.OPINION.1-3-2025_2445697.pdf,16,8
"Honeywell International Inc. v. 3g Licensing, S.A.",23-1354,2025-01-02,completed,,https://cafc.uscourts.gov/opinions-orders/23-1354.OPINION.1-2-2025_2444743.pdf,23,12
Rodenhizer v. McDonough,23-1377,2024-12-30,completed,,https://cafc.uscourts.gov/opinions-orders/23-1377.OPINION.12-30-2024_2443199.pdf,11,6
Winterbottom v. McDonough,23-2097,2024-12-27,completed,,https://cafc.uscourts.gov/opinions-orders/23-2097.OPINION.12-27-2024_2442467.pdf,5,3
In Re SECRETARY OF THE ARMY,23-2067,2024-12-26,completed,,https://cafc.uscourts.gov/opinions-orders/23-2067.OPINION.12-26-2024_2441726.pdf,19,10
"Teva Branded Pharmaceutical Products R&D, Inc. v. Amneal Pharmaceuticals of New York, LLC",24-1936,2024-12-20,completed,,https://cafc.uscourts.gov/opinions-orders/24-1936.OPINION.12-20-2024_2439730.pdf,38,19
"Cloudofchange, LLC v. Ncr Corporation",23-1111,2024-12-18,completed,,https://cafc.uscourts.gov/opinions-orders/23-1111.OPINION.12-18-2024_2438003.pdf,15,8
City of Fresno v. United States,22-1994,2024-12-17,completed,,https://cafc.uscourts.gov/opinions-orders/22-1994.OPINION.12-17-2024_2437041.pdf,32,16
"Esimplicity, Inc. v. United States",23-1216,2024-12-16,completed,,https://cafc.uscourts.gov/opinions-orders/23-1216.OPINION.12-16-2024_2436069.pdf,8,4
"Palo Alto Networks, Inc. v. Centripetal Networks, LLC",23-1636,2024-12-16,completed,,https://cafc.uscourts.gov/opinions-orders/23-1636.OPINION.12-16-2024_2436090.pdf,14,7
Anchorage v. United States,22-1719,2024-12-16,completed,,https://cafc.uscourts.gov/opinions-orders/22-1719.OPINION.12-16-2024_2436003.pdf,15,8
Pipes v. United States,22-1509,2024-12-16,completed,,https://cafc.uscourts.gov/opinions-orders/22-1509.OPINION.12-16-2024_2436023.pdf,16,8
"Meyer Corporation, U.S. v. United States",23-1570,2024-12-13,completed,,https://cafc.uscourts.gov/opinions-orders/23-1570.OPINION.12-13-2024_2435296.pdf,15,8
"Itserve Alliance, Inc. v. United States",23-1052,2024-12-10,completed,,https://cafc.uscourts.gov/opinions-orders/23-1052.OPINION.12-10-2024_2433072.pdf,15,8
"Crown Packaging Technology, Inc. v. Belvac Production MacHinery, Inc.",22-2299,2024-12-10,completed,,https://cafc.uscourts.gov/opinions-orders/22-2299.OPINION.12-10-2024_2433117.pdf,16,8
Goss v. McDonough,23-1683,2024-12-09,completed,,https://cafc.uscourts.gov/opinions-orders/23-1683.OPINION.12-9-2024_2432285.pdf,12,6
Metropolitan Area Ems Authority v. Secretary of Veterans Affairs,24-1104,2024-12-09,completed,,https://cafc.uscourts.gov/opinions-orders/24-1104.OPINION.12-9-2024_2432337.pdf,17,9
"Ddr Holdings, LLC v. priceline.com LLC",23-1176,2024-12-09,completed,,https://cafc.uscourts.gov/opinions-orders/23-1176.OPINION.12-9-2024_2432361.pdf,14,7
"Risen Energy Co., Ltd. v. United States",23-1550,2024-12-09,completed,,https://cafc.uscourts.gov/opinions-orders/23-1550.OPINION.12-9-2024_2432377.pdf,29,15
Ps Products Inc. v. Panther Trading Co. Inc.,23-1665,2024-12-06,completed,,https://cafc.uscourts.gov/opinions-orders/23-1665.OPINION.12-6-2024_2431484.pdf,12,6
Champagne v. McDonough,23-1047,2024-12-06,completed,,https://cafc.uscourts.gov/opinions-orders/23-1047.OPINION.12-6-2024_2431563.pdf,11,6
"Galderma Laboratories, L.P. v. Lupin Inc.",24-1664,2024-12-06,completed,,https://cafc.uscourts.gov/opinions-orders/24-1664.OPINION.12-6-2024_2431596.pdf,13,7
"Ecofactor, Inc. v. Google LLC",23-1101,2024-12-05,completed,,https://cafc.uscourts.gov/opinions-orders/23-1101.ORDER.12-4-2024_2430525.pdf,2,1
Cytiva Bioprocess R&D Ab v. Jsr Corp.,23-2074,2024-12-04,completed,,https://cafc.uscourts.gov/opinions-orders/23-2074.OPINION.12-4-2024_2429911.pdf,26,13
"Mirror Worlds Technologies, LLC v. Meta Platforms, Inc.",22-1600,2024-12-04,completed,,https://cafc.uscourts.gov/opinions-orders/22-1600.OPINION.12-4-2024_2429866.pdf,27,14
"percipient.ai, Inc. v. United States",23-1970,2024-11-22,completed,,https://cafc.uscourts.gov/opinions-orders/23-1970.ORDER.11-22-2024_2424789.pdf,4,2
"Cisco Systems, Inc. v. K.mizra LLC",22-2290,2024-11-19,completed,,https://cafc.uscourts.gov/opinions-orders/22-2290.ORDER.11-19-2024_2421390.pdf,3,2
Sheller v. Hhs,23-1746,2024-11-18,completed,,https://cafc.uscourts.gov/opinions-orders/23-1746.OPINION.11-18-2024_2420566.pdf,13,7
"Telefonaktiebolaget Lm Ericsson v. Lenovo (United States), Inc.",24-1515,2024-10-24,completed,,https://cafc.uscourts.gov/opinions-orders/24-1515.OPINION.10-24-2024_2408080.pdf,26,13
McCoy v. MSPB,24-1565,2024-10-24,completed,,https://cafc.uscourts.gov/opinions-orders/24-1565.OPINION.10-24-2024_2408096.pdf,6,3
"Nexstep, Inc. v. Comcast Cable Communications, LLC",22-1815,2024-10-24,completed,,https://cafc.uscourts.gov/opinions-orders/22-1815.OPINION.10-24-2024_2408132.pdf,51,26
"Shamrock Building Materials, Inc. v. United States",23-1648,2024-10-23,completed,,https://cafc.uscourts.gov/opinions-orders/23-1648.OPINION.10-23-2024_2407234.pdf,16,8
Utto Inc. v. Metrotech Corp.,23-1435,2024-10-18,completed,,https://cafc.uscourts.gov/opinions-orders/23-1435.OPINION.10-18-2024_2404584.pdf,25,13
Sage Acquisitions LLC v. Hud,23-1907,2024-10-18,completed,,https://cafc.uscourts.gov/opinions-orders/23-1907.OPINION.10-18-2024_2404617.pdf,19,10
"J.D. Irving, Ltd. v. United States",23-1652,2024-10-10,completed,,https://cafc.uscourts.gov/opinions-orders/23-1652.OPINION.10-10-2024_2400118.pdf,16,8
"Worldwide Door Components, Inc. v. United States",23-1532,2024-10-08,completed,,https://cafc.uscourts.gov/opinions-orders/23-1532.OPINION.10-8-2024_2398356.pdf,23,12
"Alexsam, Inc. v. Aetna, Inc.",22-2036,2024-10-08,completed,,https://cafc.uscourts.gov/opinions-orders/22-2036.OPINION.10-8-2024_2398426.pdf,33,17
"Vensure Hr, Inc. v. United States",23-1640,2024-10-04,completed,,https://cafc.uscourts.gov/opinions-orders/23-1640.OPINION.10-4-2024_2396527.pdf,16,8
Boeing Company v. United States,23-1018,2024-10-04,completed,,https://cafc.uscourts.gov/opinions-orders/23-1018.OPINION.10-4-2024_2396557.pdf,16,8
"Crocs, Inc. v. Effervescent, Inc.",22-2160,2024-10-03,completed,,https://cafc.uscourts.gov/opinions-orders/22-2160.OPINION.10-3-2024_2395329.pdf,12,6
"Provisur Technologies, Inc. v. Weber, Inc.",23-1438,2024-10-02,completed,,https://cafc.uscourts.gov/opinions-orders/23-1438.OPINION.10-2-2024_2394588.pdf,17,9
"Ecofactor, Inc. v. Google LLC",23-1101,2024-09-25,completed,,https://cafc.uscourts.gov/opinions-orders/23-1101.ORDER.9-25-2024_2390752.pdf,3,2
"Astellas Pharma, Inc. v. Sandoz Inc.",23-2032,2024-09-18,completed,,https://storage.courtlistener.com/pdf/2024/09/18/astellas_pharma_inc._v._sandoz_inc._1.pdf,1,8
"Astellas Pharma, Inc. v. Sandoz Inc.",23-2032,2024-09-18,completed,,https://cafc.uscourts.gov/opinions-orders/23-2032.OPINION.9-18-2024_2386574.pdf,16,8
"Oak Grove Technologies, LLC v. United States",22-1556,2024-09-16,completed,,https://storage.courtlistener.com/pdf/2024/09/11/oak_grove_technologies_llc_v._united_states.pdf,1,15
"Vascular Solutions LLC v. Medtronic, Inc.",24-1398,2024-09-16,completed,,https://storage.courtlistener.com/pdf/2024/09/16/vascular_solutions_llc_v._medtronic_inc..pdf,1,9
"Oak Grove Technologies, LLC v. United States",22-1556,2024-09-16,completed,,https://cafc.uscourts.gov/opinions-orders/22-1556.OPINION.9-16-2024_2384952.pdf,30,15
"Vascular Solutions LLC v. Medtronic, Inc.",24-1398,2024-09-16,completed,,https://cafc.uscourts.gov/opinions-orders/24-1398.OPINION.9-16-2024_2384927.pdf,18,9
"Oak Grove Technologies, LLC v. United States",22-1556,2024-09-11,completed,,https://cafc.uscourts.gov/opinions-orders/22-1556.OPINION.9-11-2024_2382532.pdf,30,15
"Contour Ip Holding LLC v. Gopro, Inc.",22-1654,2024-09-09,completed,,https://cafc.uscourts.gov/opinions-orders/22-1654.OPINION.9-9-2024_2381170.pdf,13,7
"Contour Ip Holding LLC v. Gopro, Inc.",22-1654,2024-09-09,completed,,https://storage.courtlistener.com/pdf/2024/09/09/contour_ip_holding_llc_v._gopro_inc..pdf,1,7
"Parkervision, Inc. v. Qualcomm Incorporated",22-1755,2024-09-06,completed,,https://storage.courtlistener.com/pdf/2024/09/06/parkervision_inc._v._qualcomm_incorporated.pdf,1,15
"Parkervision, Inc. v. Qualcomm Incorporated",22-1755,2024-09-06,completed,,https://cafc.uscourts.gov/opinions-orders/22-1755.OPINION.9-6-2024_2380516.pdf,29,15
"Osseo Imaging, LLC v. Planmeca USA Inc.",23-1627,2024-09-04,completed,,https://storage.courtlistener.com/pdf/2024/09/04/osseo_imaging_llc_v._planmeca_usa_inc._1.pdf,1,7
"Osseo Imaging, LLC v. Planmeca USA Inc.",23-1627,2024-09-04,completed,,https://cafc.uscourts.gov/opinions-orders/23-1627.OPINION.9-4-2024_2378780.pdf,13,7
"Broadband Itv, Inc. v. amazon.com, Inc.",23-1107,2024-09-03,completed,,https://cafc.uscourts.gov/opinions-orders/23-1107.OPINION.9-3-2024_2377827.pdf,22,11
"Broadband Itv, Inc. v. amazon.com, Inc.",23-1107,2024-09-03,completed,,https://storage.courtlistener.com/pdf/2024/09/03/broadband_itv_inc._v._amazon.com_inc._1.pdf,1,11
Smith v. McDonough,23-1378,2024-08-28,completed,,https://storage.courtlistener.com/pdf/2024/08/28/smith_v._mcdonough_3.pdf,1,6
Wisconsin Alumni Research Foundation v. Apple Inc.,22-1884,2024-08-28,completed,,https://storage.courtlistener.com/pdf/2024/08/28/wisconsin_alumni_research_foundation_v._apple_inc._4.pdf,1,18
Smith v. McDonough,23-1378,2024-08-28,completed,,https://cafc.uscourts.gov/opinions-orders/23-1378.OPINION.8-28-2024_2375091.pdf,11,6
Wisconsin Alumni Research Foundation v. Apple Inc.,22-1884,2024-08-28,completed,,https://cafc.uscourts.gov/opinions-orders/22-1884.OPINION.8-28-2024_2375134.pdf,36,18
Dojaquez v. McDonough,23-1045,2024-08-27,completed,,https://storage.courtlistener.com/pdf/2024/08/27/dojaquez_v._mcdonough.pdf,1,7
Dojaquez v. McDonough,23-1045,2024-08-27,completed,,https://cafc.uscourts.gov/opinions-orders/23-1045.OPINION.8-27-2024_2374102.pdf,13,7
"Realtime Adaptive Streaming LLC v. Sling Tv, L.L.C.",23-1035,2024-08-23,completed,,https://storage.courtlistener.com/pdf/2024/08/23/realtime_adaptive_streaming_llc_v._sling_tv_l.l.c..pdf,1,8
"Realtime Adaptive Streaming LLC v. Sling Tv, L.L.C.",23-1035,2024-08-23,completed,,https://cafc.uscourts.gov/opinions-orders/23-1035.OPINION.8-23-2024_2372558.pdf,15,8
Freund v. McDonough,23-1387,2024-08-20,completed,,https://cafc.uscourts.gov/opinions-orders/23-1387.OPINION.8-20-2024_2370151.pdf,16,8
Platinum Optics Technology Inc. v. Viavi Solutions Inc.,23-1227,2024-08-16,completed,,https://cafc.uscourts.gov/opinions-orders/23-1227.OPINION.8-16-2024_2368511.pdf,11,6
"Allergan USA, Inc. v. Msn Laboratories Private Ltd.",24-1061,2024-08-13,completed,,https://cafc.uscourts.gov/opinions-orders/24-1061.OPINION.8-13-2024_2366074.pdf,35,18
Solar Energy Industries Association v. United States,22-1392,2024-08-13,completed,,https://cafc.uscourts.gov/opinions-orders/22-1392.OPINION.8-13-2024_2366101.pdf,16,8
Celanese International Corporation v. Itc,22-1827,2024-08-12,completed,,https://cafc.uscourts.gov/opinions-orders/22-1827.OPINION.8-12-2024_2365402.pdf,17,9
Richardson v. United States,22-1520,2024-08-09,completed,,https://cafc.uscourts.gov/opinions-orders/22-1520.OPINION.8-9-2024_2364771.pdf,14,7
"Darby Development Company, Inc. v. United States",22-1929,2024-08-07,completed,,https://cafc.uscourts.gov/opinions-orders/22-1929.OPINION.8-7-2024_2363309.pdf,67,34
"Primesource Building Products, Inc. v. United States",22-2128,2024-08-07,completed,,https://cafc.uscourts.gov/opinions-orders/22-2128.OPINION.8-7-2024_2363333.pdf,32,16
Mote v. United States,24-1257,2024-08-06,completed,,https://cafc.uscourts.gov/opinions-orders/24-1257.OPINION.8-6-2024_2362636.pdf,18,9
Bureau National Interprofessionnel Du Cognac v. Cologne & Cognac Entertainment,23-1100,2024-08-06,completed,,https://cafc.uscourts.gov/opinions-orders/23-1100.OPINION.8-6-2024_2362658.pdf,24,12
Mobile Acuity Ltd. v. Blippar Ltd.,22-2216,2024-08-06,completed,,https://cafc.uscourts.gov/opinions-orders/22-2216.OPINION.8-6-2024_2362691.pdf,24,12
Lewis v. McDonough,23-1298,2024-08-01,completed,,https://storage.courtlistener.com/pdf/2024/08/01/lewis_v._mcdonough_1.pdf,1,6
Lewis v. McDonough,23-1298,2024-08-01,completed,,https://cafc.uscourts.gov/opinions-orders/23-1298.OPINION.8-1-2024_2360402.pdf,11,6
"Voice Tech Corp. v. Unified Patents, LLC",22-2163,2024-08-01,completed,,https://storage.courtlistener.com/pdf/2024/08/01/voice_tech_corp._v._unified_patents_llc_1.pdf,1,9
"Voice Tech Corp. v. Unified Patents, LLC",22-2163,2024-08-01,completed,,https://cafc.uscourts.gov/opinions-orders/22-2163.OPINION.8-1-2024_2360441.pdf,18,9
United States Capitol Police v. Ocwr,22-1983,2024-07-31,completed,,https://storage.courtlistener.com/pdf/2024/07/31/united_states_capitol_police_v._ocwr.pdf,1,7
United States Capitol Police v. Ocwr,22-1983,2024-07-31,completed,,https://cafc.uscourts.gov/opinions-orders/22-1983.OPINION.7-31-2024_2359464.pdf,13,7
"Sanho Corp. v. Kaijet Technology International Limited, Inc.",23-1336,2024-07-31,completed,,https://storage.courtlistener.com/pdf/2024/07/31/sanho_corp._v._kaijet_technology_international_limited_inc._1.pdf,1,9
"Sanho Corp. v. Kaijet Technology International Limited, Inc.",23-1336,2024-07-31,completed,,https://cafc.uscourts.gov/opinions-orders/23-1336.OPINION.7-31-2024_2359524.pdf,17,9
Softview LLC v. Apple Inc.,23-1005,2024-07-26,completed,,https://cafc.uscourts.gov/opinions-orders/23-1005.OPINION.7-26-2024_2357128.pdf,16,8
Softview LLC v. Apple Inc.,23-1005,2024-07-26,completed,,https://storage.courtlistener.com/pdf/2024/07/26/softview_llc_v._apple_inc._1.pdf,1,8
Zyxel Communications Corp. v. Unm Rainforest Innovations,22-2220,2024-07-22,completed,,https://storage.courtlistener.com/pdf/2024/07/22/zyxel_communications_corp._v._unm_rainforest_innovations_1.pdf,1,14
Zyxel Communications Corp. v. Unm Rainforest Innovations,22-2220,2024-07-22,completed,,https://cafc.uscourts.gov/opinions-orders/22-2220.OPINION.7-22-2024_2354035.pdf,27,14
Koss Corporation v. Bose Corporation,22-2090,2024-07-19,completed,,https://cafc.uscourts.gov/opinions-orders/22-2090.OPINION.7-19-2024_2353095.pdf,9,5
Koss Corporation v. Bose Corporation,22-2090,2024-07-19,completed,,https://storage.courtlistener.com/pdf/2024/07/19/koss_corporation_v._bose_corporation.pdf,1,5
"Miller Mendel, Inc. v. City of Anna, Texas",22-1753,2024-07-18,completed,,https://storage.courtlistener.com/pdf/2024/07/18/miller_mendel_inc._v._city_of_anna_texas_1.pdf,1,9
